Date,Date,Close,ema_fi
2015-12-21,2015-12-21,3.922,11929258.5021
2015-12-22,2015-12-22,3.927,4490247.50069
2015-12-23,2015-12-23,3.922,532537.166896
2015-12-24,2015-12-24,3.875,-6033343.34437
2015-12-28,2015-12-28,3.778,-12756438.1815
2015-12-29,2015-12-29,3.813,-684178.393819
2015-12-30,2015-12-30,3.812,-320831.131273
2016-01-04,2016-01-04,3.535,-57511297.2438
2016-01-05,2016-01-05,3.527,-21447166.8146
2016-01-06,2016-01-06,3.582,-723350.604862
2016-01-07,2016-01-07,3.484,-5143762.86829
2016-01-08,2016-01-08,3.408,-22403611.6228
2016-01-11,2016-01-11,3.233,-61276718.8743
2016-01-12,2016-01-12,3.256,-16182989.8914
2016-01-13,2016-01-13,3.211,-12895556.9638
2016-01-14,2016-01-14,3.265,8190197.81206
2016-01-15,2016-01-15,3.169,-16563700.4626
2016-01-18,2016-01-18,3.171,-5102178.55421
2016-01-19,2016-01-19,3.262,13606590.0819
2016-01-20,2016-01-20,3.169,-11369596.5727
2016-01-21,2016-01-21,3.078,-20371982.5909
2016-01-22,2016-01-22,3.108,-1911316.86363
2016-01-25,2016-01-25,3.12,799280.778789
2016-01-26,2016-01-26,2.944,-34782459.4737
2016-01-27,2016-01-27,2.912,-23009357.4246
2016-01-28,2016-01-28,2.849,-17897407.4082
2016-01-29,2016-01-29,2.93,10523081.3306
2016-02-01,2016-02-01,2.898,-54623.0231325
2016-02-02,2016-02-02,2.96,9117116.19229
2016-02-03,2016-02-03,2.946,912618.864096
2016-02-04,2016-02-04,2.985,11415581.888
2016-02-05,2016-02-05,2.95,-7315731.70399
2016-02-15,2016-02-15,2.939,-4064063.368
2016-02-16,2016-02-16,3.024,14057988.2107
2016-02-17,2016-02-17,3.055,9546424.07022
2016-02-18,2016-02-18,3.049,2297485.75674
2016-02-19,2016-02-19,3.041,-361518.081086
2016-02-22,2016-02-22,3.104,30659958.373
2016-02-23,2016-02-23,3.08,6538710.92432
2016-02-24,2016-02-24,3.103,6481984.04144
2016-02-25,2016-02-25,2.905,-47440741.0529
2016-02-26,2016-02-26,2.933,-7191527.28428
2016-02-29,2016-02-29,2.864,-20522569.5614
2016-03-01,2016-03-01,2.918,1603393.47952
2016-03-02,2016-03-02,3.049,39957901.4265
2016-03-03,2016-03-03,3.042,12204546.7422
2016-03-04,2016-03-04,3.079,15429853.6474
2016-03-07,2016-03-07,3.103,10620188.5491
2016-03-08,2016-03-08,3.092,1420420.04971
2016-03-09,2016-03-09,3.046,-7646121.58343
2016-03-10,2016-03-10,3.005,-6302757.39448
2016-03-11,2016-03-11,2.999,-2736891.93149
2016-03-14,2016-03-14,3.064,24136683.3562
2016-03-15,2016-03-15,3.054,6091554.45206
2016-03-16,2016-03-16,3.074,5866811.48402
2016-03-17,2016-03-17,3.124,15621100.4947
2016-03-18,2016-03-18,3.168,33624184.1649
2016-03-21,2016-03-21,3.238,29340399.3883
2016-03-22,2016-03-22,3.216,7303480.1961
2016-03-23,2016-03-23,3.222,3445080.1987
2016-03-24,2016-03-24,3.172,-10642023.2671
2016-03-25,2016-03-25,3.185,-1333591.02237
2016-03-28,2016-03-28,3.155,-5518698.34079
2016-03-29,2016-03-29,3.129,-10690562.3803
2016-03-30,2016-03-30,3.215,14860316.5399
2016-03-31,2016-03-31,3.209,3882331.24664
2016-04-01,2016-04-01,3.219,2997281.74888
2016-04-05,2016-04-05,3.25,8048243.84963
2016-04-06,2016-04-06,3.244,1553853.94988
2016-04-07,2016-04-07,3.204,-5774835.35004
2016-04-08,2016-04-08,3.177,-7103460.51668
2016-04-11,2016-04-11,3.212,4490649.16111
2016-04-12,2016-04-12,3.208,366769.453702
2016-04-13,2016-04-13,3.249,18291370.9512
2016-04-14,2016-04-14,3.261,7668134.05041
2016-04-15,2016-04-15,3.264,2937737.48347
2016-04-19,2016-04-19,3.222,-6772671.77218
2016-04-20,2016-04-20,3.166,-19728153.5241
2016-04-21,2016-04-21,3.151,-9123480.17469
2016-04-22,2016-04-22,3.165,-1609412.7249
2016-04-25,2016-04-25,3.155,-1577116.9083
2016-04-26,2016-04-26,3.173,1036285.1639
2016-04-27,2016-04-27,3.158,-1102104.61203
2016-04-28,2016-04-28,3.156,-560125.404011
2016-04-29,2016-04-29,3.152,-489612.73467
2016-05-03,2016-05-03,3.213,9357598.48844
2016-05-04,2016-05-04,3.201,1643501.89615
2016-05-05,2016-05-05,3.201,547833.965383
2016-05-06,2016-05-06,3.128,-10307138.2782
2016-05-09,2016-05-09,3.064,-17396391.1594
2016-05-10,2016-05-10,3.061,-6025892.85313
2016-05-11,2016-05-11,3.073,-1213018.95104
2016-05-12,2016-05-12,3.084,472050.882985
2016-05-13,2016-05-13,3.073,-509223.305672
2016-05-16,2016-05-16,3.085,712583.698109
2016-05-17,2016-05-17,3.08,-82826.7672968
2016-05-18,2016-05-18,3.06,-1617530.25577
2016-05-19,2016-05-19,3.054,-984218.351922
2016-05-20,2016-05-20,3.074,1526183.21603
2016-05-23,2016-05-23,3.079,868091.405342
2016-05-24,2016-05-24,3.06,-936527.598219
2016-05-25,2016-05-25,3.058,-423890.93274
2016-05-26,2016-05-26,3.058,-141296.97758
2016-05-27,2016-05-27,3.06,67147.8074733
2016-05-30,2016-05-30,3.062,128033.535824
2016-05-31,2016-05-31,3.169,35323666.5786
2016-06-01,2016-06-01,3.156,10289541.2595
2016-06-02,2016-06-02,3.159,3614618.48651
2016-06-06,2016-06-06,3.177,2184647.62884
2016-06-07,2016-06-07,3.177,728215.876279
2016-06-08,2016-06-08,3.173,49071.9587597
2016-06-13,2016-06-13,3.069,-22861035.7471
2016-06-14,2016-06-14,3.082,-6102896.84903
2016-06-15,2016-06-15,3.123,3284633.78366
2016-06-16,2016-06-16,3.104,-16297.8054474
2016-06-17,2016-06-17,3.117,1739236.73152
2016-06-20,2016-06-20,3.118,634484.510506
2016-06-21,2016-06-21,3.111,-463046.163165
2016-06-22,2016-06-22,3.13,1331341.07895
2016-06-23,2016-06-23,3.12,-218800.973685
2016-06-24,2016-06-24,3.087,-3469634.6579
2016-06-27,2016-06-27,3.126,2367955.31404
2016-06-28,2016-06-28,3.142,2725200.03801
2016-06-29,2016-06-29,3.156,2024125.346
2016-06-30,2016-06-30,3.161,984212.448668
2016-07-01,2016-07-01,3.158,140537.616223
2016-07-04,2016-07-04,3.211,4916157.27207
2016-07-05,2016-07-05,3.219,2495862.02402
2016-07-06,2016-07-06,3.235,3798020.14134
2016-07-07,2016-07-07,3.239,1761145.64711
2016-07-08,2016-07-08,3.227,-757106.650962
2016-07-11,2016-07-11,3.235,323417.783013
2016-07-12,2016-07-12,3.317,9530305.661
2016-07-13,2016-07-13,3.324,4342696.02033
2016-07-14,2016-07-14,3.319,1012805.34011
2016-07-15,2016-07-15,3.323,582126.846704
2016-07-18,2016-07-18,3.311,-913782.517765
